Model,kA Raiting,Service Voltage (V),MCOV (Vac),kA Raiting Per Phase,Enclosure,Monitoring,Part Number,Voltage Config,URL
ADSi,80,120/240 ,150,160 kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-080-120T,Split,https://shopalltec.com/adsi-080/
ADSi,80,120/208 ,150,160 kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-080-120W,Wye,https://shopalltec.com/adsi-080/
ADSi,80,127/220 ,150,160 kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-080-127W,Wye,https://shopalltec.com/adsi-080/
ADSi,80,220/380 ,320,160 kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-080-220W,Wye,https://shopalltec.com/adsi-080/
ADSi,80,240,320,160 kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-080-240D,Delta,https://shopalltec.com/adsi-080/
ADSi,80,240/415,320,160 kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-080-240W,Wye,https://shopalltec.com/adsi-080/
ADSi,80,240,150/320,160 kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-080-240H,High Leg,https://shopalltec.com/adsi-080/
ADSi,80,277/480 ,320,160 kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-080-480W,Wye,https://shopalltec.com/adsi-080/
ADSi,80,480,600,160kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-080-480D,Delta,https://shopalltec.com/adsi-080/
ADSi,80,347/600 ,600,160kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-080-600W,Wye,https://shopalltec.com/adsi-080/
ADSi,80,600,600,160kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-080-600D,Delta,https://shopalltec.com/adsi-080/
ADSi,80,120,150,160kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-080-120S,Single,https://shopalltec.com/adsi-080/
ADSi,80,240,320,160kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-080-240S,Single,https://shopalltec.com/adsi-080/
ADSi,160,120/240 ,150,320kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-160-120T,Split,https://shopalltec.com/adsi-160/
ADSi,160,120/208 ,150,320kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-160-120W,Wye,https://shopalltec.com/adsi-160/
ADSi,160,127/220 ,150,320kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-160-127W,Wye,https://shopalltec.com/adsi-160/
ADSi,160,220/380 ,320,320kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-160-220W,Wye,https://shopalltec.com/adsi-160/
ADSi,160,240,320,320kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-160-240D,Delta,https://shopalltec.com/adsi-160/
ADSi,160,240/415 ,320,320kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-160-240W,Wye,https://shopalltec.com/adsi-160/
ADSi,160,240,150/320,320kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-160-240H,High Leg,https://shopalltec.com/adsi-160/
ADSi,160,277/480 ,320,320kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-160-480W,Wye,https://shopalltec.com/adsi-160/
ADSi,160,480,600,320kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-160-480D,Delta,https://shopalltec.com/adsi-160/
ADSi,160,347/600 ,600,320kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-160-600W,Wye,https://shopalltec.com/adsi-160/
ADSi,160,600,600,320kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-160-600D,Delta,https://shopalltec.com/adsi-160/
ADSi,160,120,150,320kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-160-120S,Single,https://shopalltec.com/adsi-160/
ADSi,160,240,320,320kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-160-240S,Single,https://shopalltec.com/adsi-160/
ADSi,240,120/240 ,150,480kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-240-120T,Split,https://shopalltec.com/adsi-240/
ADSi,240,120/208 ,150,480kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-240-120W,Wye,https://shopalltec.com/adsi-240/
ADSi,240,127/220 ,150,480kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-240-127W,Wye,https://shopalltec.com/adsi-240/
ADSi,240,220/380 ,320,480kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-240-220W,Wye,https://shopalltec.com/adsi-240/
ADSi,240,240,320,480kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-240-240D,Delta,https://shopalltec.com/adsi-240/
ADSi,240,240/415 ,320,480kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-240-240W,Wye,https://shopalltec.com/adsi-240/
ADSi,240,240,150/320,480kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-240-240H,High Leg,https://shopalltec.com/adsi-240/
ADSi,240,277/480 ,320,480kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-240-480W,Wye,https://shopalltec.com/adsi-240/
ADSi,240,480,600,480kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-240-480D,Delta,https://shopalltec.com/adsi-240/
ADSi,240,347/600 ,600,480kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-240-600W,Wye,https://shopalltec.com/adsi-240/
ADSi,240,600,600,480kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-240-600D,Delta,https://shopalltec.com/adsi-240/
ADSi,240,120,150,480kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-240-120S,Single,https://shopalltec.com/adsi-240/
ADSi,240,240,320,480kA,"NEMA 12/4, Painted Steel","Green LED (Working), Red LED (Alarm), Audible Alarm",ADSi-240-240S,Single,https://shopalltec.com/adsi-240/
ADSc,80,120,150,160kA,"NEMA 12, Painted Steel",Green LED,ADSc-080-120S,Single,https://shopalltec.com/adsc-080/
